user,event_name,error_code
user_311,rds:DescribeDBInstances,
user_150,sts:GetCallerIdentity,None
user_272,cloudwatch:GetMetricData,
attacker_198,s3:DeleteObject,
exfil_69,s3:GetObject,
user_14,rds:DescribeDBInstances,
user_46,cloudwatch:GetMetricData,
exfil_112,s3:GetObject,
attacker_197,s3:DeleteObject,
user_182,sts:GetCallerIdentity,
attacker_64,iam:CreateUser,AccessDenied
exfil_5,s3:GetObject,
user_296,cloudwatch:GetMetricData,
user_216,iam:ListUsers,
user_383,iam:ListUsers,
user_80,s3:PutObject,
user_148,lambda:ListFunctions,
exfil_133,s3:GetObject,
attacker_29,sts:AssumeRole,AccessDenied
user_88,cloudwatch:GetMetricData,None
user_351,cloudwatch:GetMetricData,
user_75,cloudwatch:GetMetricData,
user_305,iam:GetUser,
exfil_89,s3:GetObject,
user_6,rds:DescribeDBInstances,None
user_167,iam:ListUsers,
exfil_12,s3:GetObject,
user_129,iam:GetUser,
attacker_1,sts:AssumeRole,AccessDenied
suspicious_58,iam:AttachUserPolicy,AccessDenied
suspicious_38,iam:PutUserPolicy,AccessDenied
attacker_283,iam:AttachUserPolicy,AccessDenied
exfil_134,s3:GetObject,
attacker_26,s3:DeleteObject,
exfil_86,s3:GetObject,
suspicious_12,iam:CreateUser,AccessDenied
exfil_189,s3:GetObject,
user_259,cloudwatch:GetMetricData,
exfil_40,s3:GetObject,
user_79,cloudwatch:GetMetricData,
user_192,rds:DescribeDBInstances,
exfil_26,s3:GetObject,
exfil_133,s3:GetObject,
suspicious_27,s3:ListBucket,AccessDenied
attacker_213,sts:AssumeRole,AccessDenied
user_184,sts:GetCallerIdentity,
exfil_20,s3:GetObject,
exfil_139,s3:GetObject,
user_216,ec2:DescribeInstances,None
exfil_22,s3:GetObject,
attacker_143,iam:AttachUserPolicy,AccessDenied
exfil_162,s3:GetObject,
user_377,s3:GetObject,None
exfil_124,s3:GetObject,
exfil_87,s3:GetObject,
attacker_74,iam:CreateUser,AccessDenied
exfil_105,s3:GetObject,
exfil_112,s3:GetObject,
user_362,logs:GetLogEvents,
exfil_18,s3:GetObject,
attacker_129,sts:AssumeRole,AccessDenied
exfil_65,s3:GetObject,
exfil_79,s3:GetObject,
user_111,s3:ListBucket,
exfil_24,s3:GetObject,
user_107,ec2:DescribeSecurityGroups,
suspicious_55,cloudwatch:GetMetricData,
exfil_143,s3:GetObject,
exfil_68,s3:GetObject,
exfil_79,s3:GetObject,
exfil_116,s3:GetObject,
exfil_167,s3:GetObject,
user_190,cloudwatch:GetMetricData,
user_351,ec2:DescribeSecurityGroups,
user_105,lambda:ListFunctions,
exfil_126,s3:GetObject,
exfil_176,s3:GetObject,
exfil_190,s3:GetObject,
exfil_12,s3:GetObject,
user_20,lambda:ListFunctions,
exfil_97,s3:GetObject,
exfil_89,s3:GetObject,
user_267,sts:GetCallerIdentity,
user_305,s3:ListBucket,None
user_161,ec2:DescribeInstances,None
user_145,iam:ListUsers,
attacker_200,iam:DeleteUser,
user_181,iam:GetUser,
user_64,rds:DescribeDBInstances,
exfil_131,s3:GetObject,
user_280,rds:DescribeDBInstances,
exfil_20,s3:GetObject,
user_264,iam:GetUser,
exfil_70,s3:GetObject,
user_171,cloudwatch:GetMetricData,None
attacker_37,iam:CreateUser,AccessDenied
exfil_174,s3:GetObject,
user_335,rds:DescribeDBInstances,
user_377,ec2:DescribeSecurityGroups,
exfil_102,s3:GetObject,
exfil_118,s3:GetObject,
user_76,s3:GetObject,None
user_144,rds:DescribeDBInstances,
exfil_76,s3:GetObject,
user_102,iam:GetUser,
user_293,ec2:DescribeInstances,None
suspicious_22,s3:GetObject,AccessDenied
user_90,s3:PutObject,None
attacker_204,sts:AssumeRole,AccessDenied
exfil_111,s3:GetObject,
user_270,s3:GetObject,None
exfil_62,s3:GetObject,
user_241,s3:PutObject,
exfil_101,s3:GetObject,
user_122,s3:ListBucket,
exfil_89,s3:GetObject,
exfil_138,s3:GetObject,
attacker_162,iam:DeleteUser,
user_281,rds:DescribeDBInstances,
exfil_63,s3:GetObject,
user_334,iam:ListUsers,
user_160,ec2:DescribeInstances,
user_220,iam:ListUsers,None
exfil_11,s3:GetObject,
user_345,s3:PutObject,None
user_231,sts:GetCallerIdentity,
exfil_14,s3:GetObject,
attacker_170,iam:DeleteRole,
attacker_6,sts:AssumeRole,AccessDenied
exfil_190,s3:GetObject,
exfil_53,s3:GetObject,
exfil_25,s3:GetObject,
exfil_105,s3:GetObject,
user_201,lambda:ListFunctions,
user_110,iam:GetUser,
exfil_126,s3:GetObject,
attacker_159,iam:DeleteUser,
exfil_22,s3:GetObject,
exfil_58,s3:GetObject,
user_172,s3:PutObject,
attacker_17,s3:DeleteObject,
user_314,s3:PutObject,
user_302,sts:GetCallerIdentity,
user_373,cloudwatch:GetMetricData,
user_257,rds:DescribeDBInstances,None
exfil_8,s3:GetObject,
suspicious_80,cloudwatch:GetMetricData,AccessDenied
user_209,s3:PutObject,None
attacker_149,s3:DeleteObject,
suspicious_53,iam:PutUserPolicy,
user_296,sts:GetCallerIdentity,
user_329,ec2:DescribeInstances,
attacker_252,s3:DeleteObject,
suspicious_87,s3:PutObject,
exfil_143,s3:GetObject,
user_247,rds:DescribeDBInstances,
suspicious_15,ec2:DescribeInstances,
user_250,sts:GetCallerIdentity,None
user_140,logs:GetLogEvents,
attacker_25,iam:AttachUserPolicy,AccessDenied
attacker_122,iam:AttachUserPolicy,AccessDenied
exfil_113,s3:GetObject,
user_259,iam:GetUser,
exfil_60,s3:GetObject,
exfil_59,s3:GetObject,
exfil_20,s3:GetObject,
attacker_53,s3:DeleteObject,
attacker_144,iam:DeleteRole,
attacker_235,iam:DeleteUser,
exfil_103,s3:GetObject,
exfil_174,s3:GetObject,
user_282,iam:GetUser,
user_32,iam:GetUser,
user_351,s3:PutObject,
exfil_72,s3:GetObject,
suspicious_52,s3:ListBucket,AccessDenied
exfil_47,s3:GetObject,
user_254,rds:DescribeDBInstances,None
exfil_151,s3:GetObject,
attacker_135,s3:DeleteObject,
exfil_197,s3:GetObject,
user_51,rds:DescribeDBInstances,
attacker_71,iam:CreateUser,AccessDenied
attacker_85,sts:AssumeRole,AccessDenied
exfil_27,s3:GetObject,
user_8,iam:GetUser,None
user_218,ec2:DescribeSecurityGroups,
exfil_102,s3:GetObject,
user_169,iam:GetUser,
exfil_112,s3:GetObject,
user_70,sts:GetCallerIdentity,None
exfil_21,s3:GetObject,
user_67,iam:GetUser,
attacker_8,sts:AssumeRole,AccessDenied
user_76,s3:PutObject,
user_82,logs:GetLogEvents,
user_173,ec2:DescribeSecurityGroups,
user_397,rds:DescribeDBInstances,
exfil_147,s3:GetObject,
user_199,lambda:ListFunctions,
suspicious_82,s3:ListBucket,
attacker_214,sts:AssumeRole,AccessDenied
exfil_114,s3:GetObject,
user_40,lambda:ListFunctions,
exfil_10,s3:GetObject,
exfil_143,s3:GetObject,
user_194,lambda:ListFunctions,None
exfil_161,s3:GetObject,
exfil_77,s3:GetObject,
user_128,s3:ListBucket,
user_15,ec2:DescribeInstances,
exfil_95,s3:GetObject,
exfil_155,s3:GetObject,
exfil_25,s3:GetObject,
user_214,rds:DescribeDBInstances,
user_328,sts:GetCallerIdentity,None
attacker_22,iam:DeleteRole,
user_6,s3:GetObject,None
user_306,sts:GetCallerIdentity,
user_139,cloudwatch:GetMetricData,None
exfil_135,s3:GetObject,
exfil_83,s3:GetObject,
suspicious_86,s3:PutObject,
user_113,s3:PutObject,None
user_46,cloudwatch:GetMetricData,
user_145,rds:DescribeDBInstances,
attacker_263,s3:DeleteObject,
user_62,s3:ListBucket,None
suspicious_18,ec2:DescribeSecurityGroups,
exfil_111,s3:GetObject,
exfil_5,s3:GetObject,
exfil_77,s3:GetObject,
attacker_206,iam:AttachUserPolicy,AccessDenied
user_277,iam:ListUsers,None
attacker_31,s3:DeleteObject,
exfil_19,s3:GetObject,
user_236,cloudwatch:GetMetricData,
user_361,rds:DescribeDBInstances,
user_398,iam:ListUsers,None
exfil_31,s3:GetObject,
user_67,ec2:DescribeSecurityGroups,None
attacker_39,iam:DeleteRole,
exfil_120,s3:GetObject,
user_7,cloudwatch:GetMetricData,
exfil_156,s3:GetObject,
user_9,ec2:DescribeSecurityGroups,
attacker_87,iam:DeleteRole,
attacker_141,iam:CreateUser,AccessDenied
user_372,rds:DescribeDBInstances,
exfil_146,s3:GetObject,
user_94,logs:GetLogEvents,None
exfil_85,s3:GetObject,
attacker_143,sts:AssumeRole,AccessDenied
exfil_61,s3:GetObject,
exfil_47,s3:GetObject,
suspicious_8,s3:PutObject,
user_220,s3:PutObject,
user_205,rds:DescribeDBInstances,None
attacker_187,iam:CreateUser,AccessDenied
exfil_143,s3:GetObject,
attacker_186,sts:AssumeRole,AccessDenied
exfil_199,s3:GetObject,
user_118,iam:ListUsers,
attacker_157,sts:AssumeRole,AccessDenied
user_19,cloudwatch:GetMetricData,
exfil_179,s3:GetObject,
attacker_147,iam:AttachUserPolicy,AccessDenied
user_168,cloudwatch:GetMetricData,None
user_187,ec2:DescribeInstances,
suspicious_95,ec2:DescribeSecurityGroups,AccessDenied
user_194,sts:GetCallerIdentity,
exfil_112,s3:GetObject,
user_193,logs:GetLogEvents,
attacker_288,iam:AttachUserPolicy,AccessDenied
user_122,lambda:ListFunctions,
suspicious_92,iam:PutUserPolicy,
user_106,s3:GetObject,
exfil_98,s3:GetObject,
suspicious_10,ec2:DescribeInstances,
exfil_35,s3:GetObject,
user_4,lambda:ListFunctions,
exfil_137,s3:GetObject,
exfil_97,s3:GetObject,
attacker_248,iam:AttachUserPolicy,AccessDenied
attacker_233,iam:DeleteUser,
attacker_177,iam:DeleteRole,
user_50,iam:ListUsers,
user_222,logs:GetLogEvents,
attacker_271,iam:DeleteRole,
exfil_136,s3:GetObject,
user_376,s3:GetObject,
user_50,iam:ListUsers,
attacker_157,iam:AttachUserPolicy,AccessDenied
user_385,ec2:DescribeInstances,None
exfil_176,s3:GetObject,
suspicious_5,cloudwatch:GetMetricData,
exfil_165,s3:GetObject,
user_375,cloudwatch:GetMetricData,None
user_307,cloudwatch:GetMetricData,
exfil_131,s3:GetObject,
attacker_133,s3:DeleteObject,
exfil_63,s3:GetObject,
exfil_59,s3:GetObject,
user_272,lambda:ListFunctions,
exfil_184,s3:GetObject,
user_178,lambda:ListFunctions,
exfil_107,s3:GetObject,
suspicious_24,iam:PutUserPolicy,
user_288,iam:GetUser,
exfil_178,s3:GetObject,
user_186,s3:PutObject,
exfil_143,s3:GetObject,
user_176,cloudwatch:GetMetricData,None
exfil_32,s3:GetObject,
user_21,cloudwatch:GetMetricData,None
attacker_2,s3:DeleteObject,
user_245,logs:GetLogEvents,None
attacker_196,sts:AssumeRole,AccessDenied
exfil_193,s3:GetObject,
user_67,s3:ListBucket,
exfil_94,s3:GetObject,
user_345,iam:GetUser,
user_248,s3:ListBucket,
exfil_118,s3:GetObject,
user_222,lambda:ListFunctions,None
user_76,rds:DescribeDBInstances,
attacker_227,iam:DeleteRole,
user_280,ec2:DescribeSecurityGroups,
attacker_72,iam:AttachUserPolicy,AccessDenied
exfil_119,s3:GetObject,
user_368,ec2:DescribeInstances,
exfil_120,s3:GetObject,
suspicious_16,ec2:DescribeSecurityGroups,
exfil_41,s3:GetObject,
user_293,cloudwatch:GetMetricData,
attacker_236,iam:DeleteUser,
suspicious_25,ec2:DescribeInstances,
user_33,s3:ListBucket,
user_292,iam:ListUsers,
exfil_10,s3:GetObject,
user_365,iam:ListUsers,
user_18,ec2:DescribeSecurityGroups,None
user_67,iam:ListUsers,
user_312,iam:GetUser,None
exfil_29,s3:GetObject,
exfil_196,s3:GetObject,
user_288,iam:ListUsers,None
exfil_8,s3:GetObject,
exfil_91,s3:GetObject,
user_73,ec2:DescribeSecurityGroups,
attacker_47,iam:DeleteUser,
user_11,rds:DescribeDBInstances,
exfil_160,s3:GetObject,
attacker_154,s3:DeleteObject,
user_84,sts:GetCallerIdentity,
user_283,s3:GetObject,
user_200,s3:PutObject,
exfil_148,s3:GetObject,
exfil_100,s3:GetObject,
attacker_255,s3:DeleteObject,
exfil_53,s3:GetObject,
user_234,cloudwatch:GetMetricData,None
exfil_99,s3:GetObject,
user_119,iam:ListUsers,
exfil_99,s3:GetObject,
user_265,ec2:DescribeSecurityGroups,None
attacker_297,iam:DeleteUser,
user_316,sts:GetCallerIdentity,None
exfil_19,s3:GetObject,
exfil_128,s3:GetObject,
attacker_116,sts:AssumeRole,AccessDenied
user_23,logs:GetLogEvents,
suspicious_29,ec2:DescribeSecurityGroups,
user_232,s3:PutObject,None
suspicious_28,cloudwatch:GetMetricData,AccessDenied
user_261,ec2:DescribeInstances,
attacker_142,iam:CreateUser,AccessDenied
exfil_105,s3:GetObject,
exfil_158,s3:GetObject,
attacker_198,sts:AssumeRole,AccessDenied
user_74,logs:GetLogEvents,
attacker_45,iam:DeleteRole,
suspicious_2,ec2:DescribeInstances,
exfil_19,s3:GetObject,
exfil_67,s3:GetObject,
suspicious_38,s3:GetObject,
exfil_171,s3:GetObject,
exfil_85,s3:GetObject,
exfil_195,s3:GetObject,
exfil_131,s3:GetObject,
exfil_151,s3:GetObject,
exfil_64,s3:GetObject,
exfil_146,s3:GetObject,
attacker_76,iam:AttachUserPolicy,AccessDenied
user_393,s3:PutObject,None
exfil_141,s3:GetObject,
attacker_51,iam:AttachUserPolicy,AccessDenied
exfil_48,s3:GetObject,
user_107,s3:PutObject,
exfil_194,s3:GetObject,
user_191,cloudwatch:GetMetricData,None
user_183,ec2:DescribeInstances,None
user_122,lambda:ListFunctions,
exfil_136,s3:GetObject,
exfil_126,s3:GetObject,
exfil_187,s3:GetObject,
exfil_50,s3:GetObject,
user_222,ec2:DescribeInstances,
user_319,lambda:ListFunctions,
suspicious_59,s3:ListBucket,AccessDenied
user_34,sts:GetCallerIdentity,
user_269,s3:ListBucket,None
attacker_278,iam:CreateUser,AccessDenied
attacker_266,sts:AssumeRole,AccessDenied
exfil_52,s3:GetObject,
attacker_146,s3:DeleteObject,
exfil_170,s3:GetObject,
user_109,ec2:DescribeInstances,
exfil_196,s3:GetObject,
exfil_92,s3:GetObject,
exfil_76,s3:GetObject,
attacker_202,s3:DeleteObject,
user_58,ec2:DescribeSecurityGroups,
user_260,s3:GetObject,
user_212,sts:GetCallerIdentity,
user_163,s3:PutObject,
suspicious_25,s3:ListBucket,
user_80,cloudwatch:GetMetricData,
user_303,ec2:DescribeInstances,
user_18,ec2:DescribeInstances,
attacker_194,iam:CreateUser,AccessDenied
attacker_4,iam:DeleteUser,
attacker_126,s3:DeleteObject,
attacker_293,s3:DeleteObject,
user_26,iam:ListUsers,
